,Recall,Specificity,F1-Score,Test Accuracy,Test Loss,AUROC,Test Accuracy (Balanced),Train Loss
0,0.0,0.9999347925186157,0.0,96.2088851928711,0.12000923603773117,0.4801751673221588,0.49996739625930786,0.25972074270248413
1,0.0,1.0,0.0,96.21516418457031,0.055871136486530304,0.47808611392974854,0.5,0.07533405721187592
2,0.0,1.0,0.0,96.21516418457031,0.033979516476392746,0.47853004932403564,0.5,0.04216286540031433
3,0.0,1.0,0.0,96.21516418457031,0.02576805092394352,0.47866788506507874,0.5,0.03240058943629265
4,0.0,1.0,0.0,96.21516418457031,0.022557534277439117,0.4801141023635864,0.5,0.027443867176771164
5,0.0,1.0,0.0,96.21516418457031,0.02113107405602932,0.48218807578086853,0.5,0.025917116552591324
6,0.0,1.0,0.0,96.21516418457031,0.019194353371858597,0.48352357745170593,0.5,0.02523752674460411
7,0.0,1.0,0.0,96.21516418457031,0.018811823800206184,0.4856310784816742,0.5,0.023890718817710876
8,0.0,1.0,0.0,96.21516418457031,0.018668074160814285,0.48856765031814575,0.5,0.023316193372011185
9,0.0,1.0,0.0,96.21516418457031,0.017822667956352234,0.4905335605144501,0.5,0.023282483220100403
10,0.0,1.0,0.0,96.21516418457031,0.01834576204419136,0.49465104937553406,0.5,0.022758420556783676
11,0.0,1.0,0.0,96.21516418457031,0.016944045200943947,0.495963990688324,0.5,0.02238396927714348
12,0.0,1.0,0.0,96.21516418457031,0.017928695306181908,0.5000710487365723,0.5,0.021756751462817192
13,0.0,1.0,0.0,96.21516418457031,0.016714416444301605,0.5018743276596069,0.5,0.02182811126112938
14,0.0,1.0,0.0,96.21516418457031,0.016526037827134132,0.505241870880127,0.5,0.021178511902689934
15,0.0,1.0,0.0,96.21516418457031,0.016657495871186256,0.5093680024147034,0.5,0.02127963677048683
16,0.0,1.0,0.0,96.21516418457031,0.016245558857917786,0.5125685334205627,0.5,0.020661963149905205
17,0.0,1.0,0.0,96.21516418457031,0.01630541682243347,0.5161972045898438,0.5,0.020489120855927467
18,0.0,1.0,0.0,96.21516418457031,0.01579669862985611,0.5191220641136169,0.5,0.020067835226655006
19,0.0,1.0,0.0,96.21516418457031,0.01579732820391655,0.5225812792778015,0.5,0.019989952445030212
20,0.0,1.0,0.0,96.21516418457031,0.01584860496222973,0.5263218283653259,0.5,0.01992439106106758
21,0.0,1.0,0.0,96.21516418457031,0.015439188107848167,0.5303354859352112,0.5,0.019722891971468925
22,0.0,1.0,0.0,96.21516418457031,0.015331977978348732,0.5338622331619263,0.5,0.01960243470966816
23,0.0,1.0,0.0,96.21516418457031,0.015488001517951488,0.5383148193359375,0.5,0.019336333498358727
24,0.0,1.0,0.0,96.21516418457031,0.015298692509531975,0.5409261584281921,0.5,0.019229114055633545
25,0.0,1.0,0.0,96.21516418457031,0.015161252580583096,0.5451011061668396,0.5,0.01909356564283371
26,0.0,1.0,0.0,96.21516418457031,0.015013063326478004,0.5476772785186768,0.5,0.019133832305669785
27,0.0,1.0,0.0,96.21516418457031,0.015071501955389977,0.5504809021949768,0.5,0.01887182518839836
28,0.0,1.0,0.0,96.21516418457031,0.015053262002766132,0.5530350208282471,0.5,0.018825162202119827
29,0.0,1.0,0.0,96.21516418457031,0.015130172483623028,0.5560792088508606,0.5,0.018830105662345886
30,0.0,1.0,0.0,96.21516418457031,0.01477968692779541,0.5588152408599854,0.5,0.018675021827220917
31,0.0,1.0,0.0,96.21516418457031,0.014720488339662552,0.5609365105628967,0.5,0.01869078539311886
32,0.0,1.0,0.0,96.21516418457031,0.014869795180857182,0.5620664358139038,0.5,0.018506575375795364
33,0.0,1.0,0.0,96.21516418457031,0.014628966338932514,0.5650919675827026,0.5,0.018440555781126022
34,0.0,1.0,0.0,96.21516418457031,0.014585839584469795,0.5669803619384766,0.5,0.018620464950799942
35,0.0,1.0,0.0,96.21516418457031,0.014590585604310036,0.5676327347755432,0.5,0.018249832093715668
36,0.0,1.0,0.0,96.21516418457031,0.014605704694986343,0.5700275301933289,0.5,0.018195830285549164
37,0.0,1.0,0.0,96.21516418457031,0.014503898099064827,0.5721963047981262,0.5,0.018149174749851227
38,0.0,1.0,0.0,96.21516418457031,0.014531928114593029,0.5731185674667358,0.5,0.01806197687983513
39,0.0,1.0,0.0,96.21516418457031,0.014479701407253742,0.573907196521759,0.5,0.018056344240903854
40,0.0,1.0,0.0,96.21516418457031,0.01438865251839161,0.5762925744056702,0.5,0.018010027706623077
41,0.0,1.0,0.0,96.21516418457031,0.01432163268327713,0.5750392079353333,0.5,0.01799640618264675
42,0.0,1.0,0.0,96.21516418457031,0.014335189014673233,0.5787442922592163,0.5,0.017884908244013786
43,0.0,1.0,0.0,96.21516418457031,0.014379595406353474,0.579616367816925,0.5,0.017880963161587715
44,0.0,1.0,0.0,96.21516418457031,0.014314278960227966,0.5827541947364807,0.5,0.017895499244332314
45,0.0,1.0,0.0,96.21516418457031,0.01427764818072319,0.585326611995697,0.5,0.017771676182746887
46,0.0,1.0,0.0,96.21516418457031,0.014308780431747437,0.5856648087501526,0.5,0.01769324764609337
47,0.0,1.0,0.0,96.21516418457031,0.014194231480360031,0.5883219838142395,0.5,0.017640044912695885
48,0.0,1.0,0.0,96.21516418457031,0.014227277599275112,0.5888172388076782,0.5,0.017709555104374886
49,0.0,1.0,0.0,96.21516418457031,0.014284448698163033,0.5911146998405457,0.5,0.017562298104166985
50,0.0,1.0,0.0,96.21516418457031,0.014142168685793877,0.5939115881919861,0.5,0.01759115606546402
51,0.0,1.0,0.0,96.21516418457031,0.014143019914627075,0.5943334698677063,0.5,0.017532097175717354
52,0.0,1.0,0.0,96.21516418457031,0.014144323766231537,0.5954602956771851,0.5,0.017542637884616852
53,0.0,1.0,0.0,96.21516418457031,0.01410158071666956,0.5955828428268433,0.5,0.01749725639820099
54,0.0,1.0,0.0,96.21516418457031,0.014127476140856743,0.5986214876174927,0.5,0.017429077997803688
55,0.0,1.0,0.0,96.21516418457031,0.014141750521957874,0.6012910604476929,0.5,0.01747073419392109
56,0.0,1.0,0.0,96.21516418457031,0.014038031920790672,0.6042819023132324,0.5,0.017475247383117676
57,0.0,1.0,0.0,96.21516418457031,0.014054527506232262,0.6058050990104675,0.5,0.017428863793611526
58,0.0,1.0,0.0,96.21516418457031,0.014034520834684372,0.6071025133132935,0.5,0.017400741577148438
59,0.0,1.0,0.0,96.21516418457031,0.014038781635463238,0.6092033982276917,0.5,0.017327409237623215
60,0.0,1.0,0.0,96.21516418457031,0.014009052887558937,0.6117069721221924,0.5,0.017310693860054016
61,0.0,1.0,0.0,96.21516418457031,0.014021597802639008,0.6125246286392212,0.5,0.017318299040198326
62,0.0,1.0,0.0,96.21516418457031,0.014012197032570839,0.6155873537063599,0.5,0.017248352989554405
63,0.0,1.0,0.0,96.21516418457031,0.013996335677802563,0.6173661351203918,0.5,0.017254294827580452
64,0.0,1.0,0.0,96.21516418457031,0.013965636491775513,0.6200007200241089,0.5,0.017230680212378502
65,0.0,1.0,0.0,96.21516418457031,0.014020988717675209,0.6219964623451233,0.5,0.017269469797611237
66,0.0,1.0,0.0,96.21516418457031,0.013953947462141514,0.6238316893577576,0.5,0.01720951497554779
67,0.0,1.0,0.0,96.21516418457031,0.013948671519756317,0.6244046688079834,0.5,0.017202552407979965
68,0.0,1.0,0.0,96.21516418457031,0.013942078687250614,0.6275575757026672,0.5,0.017186373472213745
69,0.0,1.0,0.0,96.21516418457031,0.013948686420917511,0.6291472911834717,0.5,0.017216328531503677
70,0.0,1.0,0.0,96.21516418457031,0.01391572318971157,0.6316453814506531,0.5,0.017195753753185272
71,0.0,1.0,0.0,96.21516418457031,0.01390315592288971,0.6336888670921326,0.5,0.017183873802423477
72,0.0,1.0,0.0,96.21516418457031,0.013891920447349548,0.6353168487548828,0.5,0.017162993550300598
73,0.0,1.0,0.0,96.21516418457031,0.013897479511797428,0.6387166380882263,0.5,0.017132766544818878
74,0.0,1.0,0.0,96.21516418457031,0.013910967856645584,0.6383269429206848,0.5,0.017059586942195892
